"Original","WebP","OriginalKiB","WebPKiB","SavedKiB","SavedPercent","Source"
"images/cert-exam-01.jpg","images/cert-exam-01.webp","462.2","226.6","235.6","51","copied-existing-webp"
"images/cert-exam-02.jpg","images/cert-exam-02.webp","429.8","203.5","226.3","52.6","copied-existing-webp"
"images/cert-exam-03.jpg","images/cert-exam-03.webp","458.3","226.5","231.8","50.6","copied-existing-webp"
"images/cert-exam-04.jpg","images/cert-exam-04.webp","529","278","250.9","47.4","copied-existing-webp"
"images/cert-exam-05.jpg","images/cert-exam-05.webp","401.4","181.2","220.2","54.9","copied-existing-webp"
"images/cert-exam-06.jpg","images/cert-exam-06.webp","458.6","227.4","231.1","50.4","copied-existing-webp"
"images/cert-exam-07.jpg","images/cert-exam-07.webp","404.1","177.7","226.4","56","copied-existing-webp"
"images/cert-exam-08.jpg","images/cert-exam-08.webp","489.6","238.4","251.2","51.3","copied-existing-webp"
"images/cert-exam-09.jpg","images/cert-exam-09.webp","385.3","173.1","212.2","55.1","copied-existing-webp"
"images/cert-exam-10.jpg","images/cert-exam-10.webp","356.6","153.5","203.1","56.9","copied-existing-webp"
"images/cert-exam-11.jpg","images/cert-exam-11.webp","369.3","160.9","208.4","56.4","copied-existing-webp"
"images/cert-exam-12.jpg","images/cert-exam-12.webp","410.8","192","218.8","53.3","copied-existing-webp"
"images/cert-scene-01.jpg","images/cert-scene-01.webp","461","221.8","239.3","51.9","copied-existing-webp"
"images/cert-scene-02.jpg","images/cert-scene-02.webp","443.9","212","231.9","52.2","copied-existing-webp"
"images/classroom-detail.jpg","images/classroom-detail.webp","214.3","75.1","139.2","65","copied-existing-webp"
"images/classroom-main.jpg","images/classroom-main.webp","262.2","108.2","154","58.7","copied-existing-webp"
"images/classroom-wide-new.jpg","images/classroom-wide-new.webp","271.2","100.8","170.4","62.8","copied-existing-webp"
"images/competition-scene-01.jpg","images/competition-scene-01.webp","488.9","240.5","248.4","50.8","copied-existing-webp"
"images/competition-scene-2026.jpg","images/competition-scene-2026.webp","217.1","79.3","137.8","63.5","copied-existing-webp"
"images/competition-static-2026-11.jpg","images/competition-static-2026-11.webp","514.7","257.8","256.8","49.9","copied-existing-webp"
"images/competition-team-2026-11.jpg","images/competition-team-2026-11.webp","770.5","428.5","342","44.4","copied-existing-webp"
"images/competition-zhengba-2026-11.jpg","images/competition-zhengba-2026-11.webp","738.5","395.6","342.9","46.4","copied-existing-webp"
"images/course-ai-brand-advanced.jpg","images/course-ai-brand-advanced.webp","457.7","201.8","255.9","55.9","copied-existing-webp"
"images/course-ai-marketing-new-01.jpg","images/course-ai-marketing-new-01.webp","473.3","216.2","257.1","54.3","copied-existing-webp"
